id,nazev,cena_kc,lokalita,lat,lon,plocha_m2,zdroj,skola_m,park_m,mhd_m,lekarna_m,supermarket_m
3867362124,Pronájem bytu 2+1 63 m²,22800,"Bojasova, Praha 8 - Kobylisy",50.131096,14.465878,,sreality,244.8,680.6,269.9,399.2,32.8
931349324,Pronájem bytu 1+1 37 m²,9000,"Československé armády, Hlinsko",49.764027,15.917792,,sreality,416.7,321.2,337.8,518.7,293.1
1468220236,Pronájem bytu 3+kk 94 m²,35000,"Oldřichova, Praha 2 - Nusle",50.065563,14.427973,,sreality,462.1,132.8,103.2,446.2,59.7
3912520524,Pronájem bytu 2+kk 70 m²,28000,"Rybalkova, Praha 10 - Vršovice",50.071102,14.444413,,sreality,112.5,507.2,212.6,559.3,30.7
3028501324,Pronájem bytu 1+1 42 m²,10500,"Hálkova, Doksy",50.561562,14.654758,,sreality,226.5,180.9,231.1,324.6,209.0
596734796,Pronájem bytu 3+1 86 m²,14000,"Holoubkov, okres Rokycany",49.775982,13.692457,,sreality,,1875.6,578.0,188.7,3363.1
3544212300,Pronájem bytu 3+kk 74 m²,25900,"Zahradní, Plzeň - Východní Předměstí",49.735649,13.387497,,sreality,1160.8,687.7,68.8,158.0,122.4
4137902924,Pronájem bytu 1+1 30 m²,17100,"Pod Terebkou, Praha 4 - Nusle",50.062389,14.436373,,sreality,208.6,149.6,102.3,364.2,95.2
4010562380,Pronájem bytu 1+kk 27 m²,19900,"Veletržní, Praha 7 - Holešovice",50.10162,14.430485,,sreality,1215.3,1181.9,91.4,28.7,69.7
441140044,Pronájem bytu 2+kk 57 m² (Jednopodlažní),34000,"Leitnerova, Brno - Staré Brno",49.191383,16.602381,,sreality,114.6,208.4,166.0,168.6,72.3
1166230348,Pronájem bytu 2+kk 44 m²,12300,"U Plynárny, Uherský Brod",49.027863,17.663063,,sreality,901.4,1251.9,161.8,782.2,360.8
3250262860,Pronájem bytu 3+kk 79 m²,31000,"Nad Kajetánkou, Praha 6 - Břevnov",50.086315,14.37457,,sreality,466.1,242.8,144.8,208.4,212.3
2336973644,Pronájem bytu 3+kk 95 m²,50000,"U Blaženky, Praha 5 - Smíchov",50.067776,14.385345,,sreality,571.3,806.1,39.6,531.2,349.7
2533585740,Pronájem bytu 2+1 49 m²,25000,"Batelovská, Praha 4 - Michle",50.045612,14.449704,,sreality,377.6,754.7,32.7,156.8,122.6
3149615948,Pronájem bytu 3+kk 78 m²,29500,"Ke Krči, Praha 4 - Braník",50.035912,14.411921,,sreality,1245.0,414.6,8.3,164.0,37.1
1543836492,Pronájem bytu 1+kk 38 m²,17500,"Vrátnická, Praha 4 - Modřany",50.012428,14.400815,,sreality,579.3,246.3,101.5,371.4,644.5
4249551692,Pronájem bytu 2+kk 46 m²,20000,"Seifertova, Praha 3 - Žižkov",50.084824,14.446784,,sreality,14.1,349.1,105.5,220.9,30.1
740434764,Pronájem bytu 2+kk 45 m²,19900,"Medkova, Praha 4 - Chodov",50.032108,14.496846,,sreality,495.5,1063.1,250.9,216.7,444.3
2895184716,Pronájem bytu 2+kk 60 m²,36000,"U Rajské zahrady, Praha 3 - Žižkov",50.082943,14.44389,,sreality,187.9,68.6,28.6,321.3,212.4
1403999052,Pronájem bytu 3+kk 76 m²,38000,"Nad Laurovou, Praha 5 - Smíchov",50.061573,14.394551,,sreality,756.8,98.5,94.4,683.5,275.9
2863874892,Pronájem bytu 3+1 74 m² (Jednopodlažní),10000,"Nová Čtvrť, Nivnice",48.978012,17.649687,,sreality,,4516.7,452.9,4863.7,383.2
2893480780,Pronájem bytu 2+1 44 m²,11500,"Habrová, Třinec - Dolní Líštná",49.679153,18.681068,,sreality,816.2,475.3,292.2,854.0,113.2
670131020,Pronájem bytu 1+kk 27 m²,11500,"Jarolímkovo náměstí, Zlín - Malenovice",49.204899,17.59621,,sreality,3518.6,2301.1,121.1,348.8,1818.4
2121093964,Pronájem bytu 3+kk 72 m²,21700,"Matochova, Olomouc - Hejčín",49.6007,17.231621,,sreality,483.8,374.1,137.5,590.8,611.0
467227468,Pronájem bytu 2+kk 51 m²,17000,"Lesní, Holubice - Kozinec",50.196095,14.299754,,sreality,3895.7,2816.4,336.4,4822.0,156.9
1373987660,Pronájem bytu 1+kk 36 m²,15000,"Kubelíkova, Praha 3 - Žižkov",50.08215,14.448494,,sreality,309.3,334.4,226.9,54.8,29.8
1219707724,Pronájem bytu 4+1 104 m²,22000,"Ruská, Mariánské Lázně",49.969112,12.701417,,sreality,4390.9,625.9,129.2,361.0,104.8
1582498636,Pronájem bytu 2+kk 46 m²,13500,"Ostrava - Mariánské Hory, okres Ostrava-město",49.832199,18.257538,,sreality,167.2,265.0,325.5,470.7,469.1
1220633420,Pronájem bytu 2+kk 60 m² (Podkrovní),21000,"Čistovická, Praha 6 - Řepy",50.074398,14.317887,,sreality,197.5,514.0,107.6,987.6,207.1
968049484,Pronájem bytu 2+1 70 m²,20500,"Vejdovského, Olomouc - Hodolany",49.589458,17.270485,,sreality,383.0,692.8,31.0,187.9,200.5
162743116,Pronájem bytu 2+1 61 m²,10000,"Nelsonská, Osek",50.622692,13.68941,,sreality,,532.6,170.1,244.6,3599.2
1504920396,Pronájem bytu 3+1 65 m²,18000,"alej Svobody, Plzeň - Severní Předměstí",49.76762,13.369512,,sreality,186.9,158.1,187.7,150.2,373.8
2093941580,Pronájem bytu 3+kk 80 m² (Jednopodlažní),12000,"Sklářská, Litvínov - Hamr",50.591633,13.573851,,sreality,813.1,1514.7,91.9,2249.4,219.4
1687409484,Pronájem bytu 5+1 200 m²,250000,"Petrské náměstí, Praha - Nové Město",50.091248,14.432317,,sreality,250.8,505.5,12.9,113.0,48.9
3199419212,Pronájem bytu 3+1 67 m²,14900,"Švédská, Ostrava - Muglinov",49.849983,18.30304,,sreality,636.0,1737.3,211.8,710.3,753.1
